,Gene,Ensembl,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type distribution,RNA single cell type specificity score,RNA single cell type specific nTPM,RNA single nuclei brain specificity,RNA single nuclei brain distribution,RNA single nuclei brain specificity score,RNA single nuclei brain specific nTPM,TAU score - Tissue,TAU score - Blood,TAU score - Brain,TAU score - Single Cell Type,TAU score - Single nuclei brain
0,KDM5B,ENSG00000117139,Tissue enhanced,Detected in many,,{'testis': '60.5'},Cell type enhanced,Detected in all,,"{'Rod photoreceptor cells': '868.7', 'Spermatocytes': '417.5'}",Low cell type specificity,Detected in all,,,0.48,0.41,0.13,0.40,0.11
0,ARID2,ENSG00000189079,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,"{'Early spermatids': '422.9', 'Late spermatids': '265.8'}",Low cell type specificity,Detected in all,,,0.36,0.55,0.13,0.46,0.18
0,AHCTF1,ENSG00000153207,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,"{'monocytes': '91.1', 'Spermatocytes': '96.9'}",Low cell type specificity,Detected in all,,,0.34,0.70,0.14,0.36,0.08
0,AHDC1,ENSG00000126705,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,{'Squamous epithelial cells': '72.3'},Low cell type specificity,Detected in all,,,0.30,Not detected,0.06,0.40,0.15
0,AKNA,ENSG00000106948,Tissue enhanced,Detected in all,,{'lymphoid tissue': '108.0'},Cell type enhanced,Detected in many,,"{'dendritic cells': '138.8', 'monocytes': '110.1', 'NK-cells': '357.3', 'Rod photoreceptor cells': '135.0', 'T-cells': '147.8'}",Cell type enhanced,Detected in many,,"{'ependymal cell': '112.9', 'leukocyte': '305.5'}",0.42,0.21,0.12,0.59,0.56
0,ASH1L,ENSG00000116539,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,0.23,0.33,0.07,0.22,0.07
0,CBX2,ENSG00000173894,Tissue enhanced,Detected in many,,"{'lymphoid tissue': '7.2', 'testis': '12.5'}",Cell type enhanced,Detected in many,,"{'Early spermatids': '27.3', 'Late spermatids': '44.2', 'Spermatogonia': '16.0'}",Cell type enhanced,Detected in some,,{'endothelial cell': '2.7'},0.71,Not detected,0.21,0.82,0.81
0,DNTTIP1,ENSG00000101457,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,0.22,0.47,0.03,0.26,0.20
0,DOT1L,ENSG00000104885,Tissue enhanced,Detected in all,,{'testis': '63.1'},Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,0.45,Not detected,0.08,0.37,0.24
0,GLYR1,ENSG00000140632,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,0.12,0.32,0.08,0.17,0.10
0,HMGA1,ENSG00000137309,Tissue enhanced,Detected in all,,{'esophagus': '267.4'},Cell type enhanced,Detected in many,,"{'Cytotrophoblasts': '932.6', 'Ductal cells': '622.5', 'Extravillous trophoblasts': '701.2', 'Syncytiotrophoblasts': '692.3', 'Undifferentiated cells': '538.8'}",Low cell type specificity,Detected in all,,,0.34,0.21,0.06,0.42,0.36
0,HMGA2,ENSG00000149948,Tissue enhanced,Detected in some,,"{'bone marrow': '4.8', 'testis': '3.7'}",Cell type enhanced,Detected in many,,"{'Basal respiratory cells': '16.6', 'Early spermatids': '20.5', 'Fibroblasts': '11.2', 'Glandular and luminal cells': '12.4', 'Granulosa cells': '10.1', 'Ionocytes': '10.3', 'Spermatocytes': '11.0', 'Undifferentiated cells': '12.5'}",Cell type enhanced,Detected in some,,"{'astrocyte': '11.4', 'deep-layer near-projecting': '30.0', 'ependymal cell': '18.9'}",0.79,0.80,0.13,0.78,0.79
0,PHF20,ENSG00000025293,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,"{'Early spermatids': '468.1', 'Late spermatids': '699.1', 'monocytes': '400.9'}",Low cell type specificity,Detected in all,,,0.31,0.25,0.07,0.41,0.17
0,PHF21A,ENSG00000135365,Low tissue specificity,Detected in all,,,Group enriched,Detected in many,5,"{'Astrocytes': '163.5', 'Excitatory neurons': '165.3', 'Inhibitory neurons': '134.1', 'Microglial cells': '132.4', 'Oligodendrocyte precursor cells': '234.9', 'Oligodendrocytes': '215.3'}",Low cell type specificity,Detected in all,,,0.19,0.49,0.08,0.49,0.10
0,PRR12,ENSG00000126464,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.36,Not detected,0.07,0.31,0.14
0,SCML4,ENSG00000146285,Tissue enhanced,Detected in many,,"{'intestine': '9.8', 'lymphoid tissue': '11.8'}",Cell type enhanced,Detected in many,,"{'Early spermatids': '41.3', 'Late spermatids': '170.8', 'NK-cells': '46.4', 'T-cells': '88.2'}",Cell type enriched,Detected in many,19,{'leukocyte': '300.3'},0.72,0.47,0.10,0.86,0.80
0,SETBP1,ENSG00000152217,Low tissue specificity,Detected in many,,,Group enriched,Detected in many,4,"{'Excitatory neurons': '337.1', 'Inhibitory neurons': '526.2', 'Oligodendrocyte precursor cells': '159.9'}",Low cell type specificity,Detected in all,,,0.27,0.81,0.23,0.64,0.18
0,SRCAP,ENSG00000080603,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,{'Gastric mucus-secreting cells': '21.8'},Low cell type specificity,Detected in all,,,0.28,Not detected,0.04,0.56,0.22
0,ZFTA,ENSG00000188070,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,{'Leydig cells': '17.9'},Low cell type specificity,Detected in all,,,0.29,Not detected,0.14,0.52,0.36
0,FAM200B,ENSG00000237765,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,"{'Distal tubular cells': '356.5', 'Late spermatids': '264.7'}",Low cell type specificity,Detected in all,,,0.19,0.56,0.09,0.39,0.16
0,SGSM2,ENSG00000141258,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,"{'Cone photoreceptor cells': '69.7', 'Rod photoreceptor cells': '58.3'}",Low cell type specificity,Detected in all,,,0.28,0.80,0.11,0.43,0.17
0,ZBED1,ENSG00000214717,Tissue enhanced,Detected in all,,{'skeletal muscle': '68.3'},Low cell type specificity,Detected in many,,,Not detected,Not detected,,,0.36,0.17,0.09,0.35,Not detected
0,ZBED2,ENSG00000177494,Tissue enhanced,Detected in some,,"{'lymphoid tissue': '46.3', 'thyroid gland': '69.0'}",Group enriched,Detected in some,4,"{'Alveolar cells type 1': '71.6', 'Suprabasal keratinocytes': '35.9'}",Not detected,Not detected,,,0.84,0.82,0.86,0.92,Not detected
0,ZBED3,ENSG00000132846,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.28,Not detected,0.13,0.43,0.29
0,ZBED4,ENSG00000100426,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,{'NK-cells': '33.0'},Low cell type specificity,Detected in all,,,0.37,0.59,0.17,0.44,0.19
0,ZBED5,ENSG00000236287,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,0.15,0.20,0.11,0.22,0.24
0,ZBED6,ENSG00000257315,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in some,,"{'Mesothelial cells': '5.6', 'Plasma cells': '4.7'}",,,,,0.18,Not detected,0.09,0.74,Not available
0,ZBED9,ENSG00000232040,Tissue enhanced,Detected in some,,{'testis': '8.5'},Cell type enhanced,Detected in many,,"{'Basal prostatic cells': '14.3', 'Early spermatids': '39.3', 'Spermatocytes': '26.2'}",Low cell type specificity,Detected in many,,,0.77,Not detected,0.31,0.81,0.37
0,AHR,ENSG00000106546,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,"{'granulocytes': '187.3', 'Langerhans cells': '269.5', 'monocytes': '146.6', 'Schwann cells': '255.1'}",Cell type enhanced,Detected in many,,{'hippocampal dentate gyrus': '46.1'},0.36,0.58,0.18,0.48,0.49
0,AHRR,ENSG00000063438,Tissue enriched,Detected in many,8,{'testis': '45.1'},Group enriched,Detected in some,16,"{'Early spermatids': '259.5', 'Late spermatids': '167.2', 'Spermatocytes': '95.9'}",Cell type enhanced,Detected in all,,{'hippocampal CA4': '63.5'},0.79,Not detected,0.37,0.93,0.49
0,ARNT,ENSG00000143437,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,0.17,0.32,0.11,0.30,0.12
0,ARNT2,ENSG00000172379,Tissue enriched,Detected in many,5,{'brain': '91.2'},Group enriched,Detected in many,4,"{'Astrocytes': '198.8', 'Excitatory neurons': '198.2', 'Inhibitory neurons': '289.0', 'Microglial cells': '93.9', 'Oligodendrocyte precursor cells': '218.4', 'Oligodendrocytes': '127.5'}",Low cell type specificity,Detected in all,,,0.64,Not detected,0.12,0.76,0.27
0,BMAL1,ENSG00000133794,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in all,,{'Excitatory neurons': '61.5'},Low cell type specificity,Detected in all,,,0.29,0.29,0.14,0.41,0.27
0,BMAL2,ENSG00000029153,Tissue enhanced,Detected in many,,"{'esophagus': '26.9', 'lymphoid tissue': '21.3'}",Cell type enhanced,Detected in many,,"{'Excitatory neurons': '76.1', 'Exocrine glandular cells': '27.3', 'Gastric mucus-secreting cells': '25.9'}",Cell type enhanced,Detected in all,,{'deep-layer near-projecting': '205.2'},0.64,0.83,0.26,0.68,0.41
0,ASCL1,ENSG00000139352,Tissue enhanced,Detected in some,,"{'brain': '15.5', 'liver': '10.7', 'pituitary gland': '29.3'}",Group enriched,Detected in some,4,"{'Astrocytes': '16.1', 'Enteroendocrine cells': '10.7', 'Oligodendrocyte precursor cells': '40.1', 'Pancreatic endocrine cells': '11.9'}",Cell type enhanced,Detected in many,,"{'bergmann glia': '32.8', 'oligodendrocyte precursor cell': '113.2'}",0.88,Not detected,0.14,0.92,0.76
0,ASCL2,ENSG00000183734,Tissue enhanced,Detected in many,,"{'intestine': '6.7', 'salivary gland': '7.8', 'skin 1': '7.1'}",Cell type enriched,Detected in many,9,{'Extravillous trophoblasts': '1225.0'},Group enriched,Detected in some,5,"{'central nervous system macrophage': '6.9', 'leukocyte': '9.8'}",0.69,0.75,0.39,0.81,0.91
0,ASCL3,ENSG00000176009,Tissue enriched,Detected in single,16,{'salivary gland': '8.4'},Group enriched,Detected in some,20,"{'Ionocytes': '72.9', 'Salivary duct cells': '138.5'}",Not detected,Not detected,,,0.97,Not detected,0.25,0.98,Not detected
0,ASCL4,ENSG00000187855,Not detected,Not detected,,,Cell type enhanced,Detected in single,,{'Langerhans cells': '2.4'},Cell type enriched,Detected in single,31,{'central nervous system macrophage': '11.8'},Not detected,Not detected,Not detected,0.97,0.97
0,ASCL5,ENSG00000232237,Tissue enhanced,Detected in single,,{'pancreas': '1.8'},Not detected,Not detected,,,Low cell type specificity,Detected in some,,,0.89,Not detected,0.26,Not detected,0.63
0,ATOH1,ENSG00000172238,Tissue enriched,Detected in some,13,{'intestine': '19.5'},Cell type enriched,Detected in some,30,{'Intestinal goblet cells': '294.5'},Not detected,Not detected,,,0.98,Not detected,Not detected,0.98,Not detected
0,ATOH7,ENSG00000179774,Group enriched,Detected in some,5,"{'brain': '3.1', 'kidney': '1.1', 'liver': '3.0'}",Cell type enhanced,Detected in some,,"{'Excitatory neurons': '1.6', 'Spermatogonia': '1.1'}",Cell type enhanced,Detected in many,,{'deep-layer near-projecting': '17.8'},0.87,Not detected,0.67,0.89,0.74
0,ATOH8,ENSG00000168874,Tissue enhanced,Detected in many,,{'skeletal muscle': '52.7'},Cell type enhanced,Detected in many,,"{'Adipocytes': '119.5', 'Endothelial cells': '49.5'}",Group enriched,Detected in many,4,"{'astrocyte': '18.2', 'bergmann glia': '11.6', 'committed oligodendrocyte precursor': '24.7', 'endothelial cell': '35.5', 'fibroblast': '11.2', 'oligodendrocyte precursor cell': '34.0', 'vascular associated smooth muscle cell': '24.6'}",0.50,Not detected,0.23,0.69,0.73
0,BHLHA15,ENSG00000180535,Group enriched,Detected in many,10,"{'pancreas': '487.1', 'salivary gland': '141.8'}",Group enriched,Detected in some,4,"{'Plasma cells': '42.1', 'Serous glandular cells': '54.4'}",Not detected,Not detected,,,0.86,Not detected,0.35,0.88,Not detected
0,BHLHA9,ENSG00000205899,Not detected,Not detected,,,Not detected,Not detected,,,Cell type enhanced,Detected in some,,{'lower rhombic lip': '5.6'},Not detected,Not detected,0.47,Not detected,0.82
0,BHLHE22,ENSG00000180828,Tissue enriched,Detected in many,5,{'brain': '23.8'},Group enriched,Detected in some,15,"{'Bipolar cells': '46.8', 'Horizontal cells': '63.6'}",Cell type enriched,Detected in many,7,{'cerebellar inhibitory': '185.4'},0.82,Not detected,0.46,0.94,0.81
0,BHLHE23,ENSG00000125533,Not detected,Not detected,,,Not detected,Not detected,,,Not detected,Not detected,,,Not detected,Not detected,0.87,Not detected,Not detected
0,BHLHE40,ENSG00000134107,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,"{'Langerhans cells': '389.9', 'Squamous epithelial cells': '508.2'}",Cell type enhanced,Detected in all,,"{'astrocyte': '147.5', 'endothelial cell': '208.8', 'vascular associated smooth muscle cell': '147.8'}",0.23,0.47,0.07,0.40,0.49
0,BHLHE41,ENSG00000123095,Tissue enhanced,Detected in many,,"{'retina': '118.8', 'skeletal muscle': '89.2'}",Cell type enhanced,Detected in many,,"{'Bipolar cells': '320.0', 'Cone photoreceptor cells': '166.5', 'Horizontal cells': '161.1', 'Muller glia cells': '199.1', 'Rod photoreceptor cells': '286.3', 'Secretory cells': '147.4'}",Cell type enriched,Detected in all,6,{'central nervous system macrophage': '556.3'},0.47,0.97,0.10,0.58,0.52
0,CLOCK,ENSG00000134852,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,0.27,0.43,0.10,0.31,0.05
0,EPAS1,ENSG00000116016,Tissue enhanced,Detected in all,,"{'lung': '399.3', 'placenta': '430.9'}",Cell type enhanced,Detected in all,,"{'Adipocytes': '795.3', 'Endothelial cells': '626.4', 'Extravillous trophoblasts': '336.1', 'Syncytiotrophoblasts': '365.0'}",Group enriched,Detected in all,4,"{'endothelial cell': '1673.4', 'pericyte': '727.1', 'vascular associated smooth muscle cell': '610.1'}",0.31,0.93,0.17,0.50,0.73
0,FERD3L,ENSG00000146618,Not detected,Not detected,,,Not detected,Not detected,,,Not detected,Not detected,,,Not detected,Not detected,0.65,Not detected,Not detected
0,FIGLA,ENSG00000183733,Tissue enhanced,Detected in some,,"{'ovary': '2.9', 'retina': '1.1'}",Cell type enriched,Detected in some,47,{'Oocytes': '1294.0'},Not detected,Not detected,,,0.90,Not detected,Not detected,0.98,Not detected
0,HAND1,ENSG00000113196,Tissue enhanced,Detected in some,,"{'heart muscle': '23.6', 'intestine': '63.9'}",Group enriched,Detected in some,10,"{'Cardiomyocytes': '15.0', 'Fibroblasts': '12.6'}",Not detected,Not detected,,,0.91,Not detected,0.93,0.95,Not detected
0,HAND2,ENSG00000164107,Tissue enhanced,Detected in many,,{'intestine': '58.5'},Group enriched,Detected in some,4,"{'Cardiomyocytes': '128.6', 'Endometrial stromal cells': '309.1', 'Ovarian stromal cells': '92.5', 'Schwann cells': '108.1'}",Not detected,Not detected,,,0.64,Not detected,0.90,0.88,Not detected
0,HELT,ENSG00000187821,Tissue enhanced,Detected in single,,{'kidney': '1.4'},Group enriched,Detected in some,13,"{'Alveolar cells type 1': '2.1', 'Distal tubular cells': '6.1'}",Cell type enriched,Detected in single,5,{'choroid plexus epithelial cell': '1.5'},0.95,Not detected,0.72,0.99,0.99
0,HES1,ENSG00000114315,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,"{'Granulosa cells': '1296.6', 'Muller glia cells': '980.8', 'Paneth cells': '1088.6', 'Undifferentiated cells': '894.6'}",Group enriched,Detected in many,12,"{'astrocyte': '200.3', 'bergmann glia': '85.5', 'endothelial cell': '134.8', 'ependymal cell': '130.0', 'fibroblast': '62.2', 'pericyte': '77.6', 'vascular associated smooth muscle cell': '50.2'}",0.30,0.95,0.11,0.40,0.72
0,HES2,ENSG00000069812,Tissue enhanced,Detected in many,,"{'esophagus': '32.7', 'skin 1': '16.3', 'vagina': '18.2'}",Cell type enhanced,Detected in many,,"{'Basal keratinocytes': '33.0', 'Intestinal goblet cells': '45.0', 'Late spermatids': '46.0', 'Paneth cells': '38.6', 'Squamous epithelial cells': '62.1', 'Suprabasal keratinocytes': '43.3', 'Syncytiotrophoblasts': '112.9'}",Not detected,Not detected,,,0.80,0.87,0.17,0.76,Not detected
0,HES3,ENSG00000173673,Not detected,Not detected,,,Not detected,Not detected,,,Not detected,Not detected,,,Not detected,Not detected,0.47,Not detected,Not detected
0,HES4,ENSG00000188290,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,"{'Granulosa cells': '450.3', 'monocytes': '567.4', 'Paneth cells': '522.9', 'Secretory cells': '567.9', 'Smooth muscle cells': '348.4'}",Group enriched,Detected in all,9,"{'pericyte': '1049.2', 'vascular associated smooth muscle cell': '439.6'}",0.47,0.96,0.20,0.50,0.52
0,HES5,ENSG00000197921,Tissue enhanced,Detected in some,,"{'brain': '14.5', 'skin 1': '4.6'}",Cell type enhanced,Detected in some,,"{'Adipocytes': '18.5', 'Astrocytes': '50.8', 'Muller glia cells': '99.4', 'Suprabasal keratinocytes': '35.9'}",Group enriched,Detected in many,5,"{'astrocyte': '89.0', 'bergmann glia': '84.6', 'oligodendrocyte precursor cell': '54.0'}",0.89,Not detected,0.35,0.86,0.79
0,HES6,ENSG00000144485,Tissue enhanced,Detected in many,,"{'brain': '52.3', 'pituitary gland': '61.0'}",Cell type enhanced,Detected in many,,"{'Erythroid cells': '147.9', 'Intestinal goblet cells': '129.5', 'Skeletal myocytes': '82.9', 'Undifferentiated cells': '82.4'}",Cell type enhanced,Detected in many,,{'bergmann glia': '61.8'},0.53,0.91,0.11,0.55,0.45
0,HES7,ENSG00000179111,Tissue enhanced,Detected in some,,{'brain': '5.5'},Cell type enhanced,Detected in some,,{'Smooth muscle cells': '3.0'},Cell type enhanced,Detected in some,,{'cerebellar inhibitory': '4.4'},0.81,Not detected,0.39,0.75,0.75
0,HEY1,ENSG00000164683,Tissue enhanced,Detected in many,,{'brain': '50.0'},Cell type enhanced,Detected in many,,"{'Adipocytes': '100.2', 'Extravillous trophoblasts': '130.8', 'granulocytes': '94.4'}",Cell type enhanced,Detected in many,,"{'endothelial cell': '60.2', 'fibroblast': '61.6'}",0.53,0.96,0.11,0.66,0.48
0,HEY2,ENSG00000135547,Tissue enhanced,Detected in many,,{'heart muscle': '29.8'},Cell type enhanced,Detected in many,,"{'Early spermatids': '44.2', 'Granulosa cells': '125.8', 'Late spermatids': '78.2', 'Oocytes': '86.8'}",Cell type enhanced,Detected in many,,"{'astrocyte': '79.8', 'pericyte': '151.4', 'vascular associated smooth muscle cell': '231.2'}",0.55,Not detected,0.16,0.72,0.78
0,HEYL,ENSG00000163909,Tissue enhanced,Detected in many,,{'pancreas': '67.3'},Cell type enhanced,Detected in many,,"{'Granulosa cells': '30.9', 'Late spermatids': '16.8', 'Leydig cells': '33.4', 'Peritubular cells': '82.0', 'Sertoli cells': '24.5', 'Smooth muscle cells': '44.6'}",Group enriched,Detected in some,6,"{'pericyte': '81.3', 'vascular associated smooth muscle cell': '127.8'}",0.45,Not detected,0.21,0.83,0.88
0,HIF1A,ENSG00000100644,Tissue enhanced,Detected in all,,{'bone marrow': '443.6'},Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,0.35,0.41,0.10,0.27,0.27
0,HIF3A,ENSG00000124440,Low tissue specificity,Detected in many,,,Cell type enhanced,Detected in many,,"{'Adipocytes': '76.4', 'Astrocytes': '244.6', 'Endothelial cells': '71.4', 'Leydig cells': '133.7', 'Muller glia cells': '65.9', 'Oligodendrocyte precursor cells': '65.6', 'Peritubular cells': '101.6'}",Group enriched,Detected in many,4,"{'astrocyte': '545.2', 'bergmann glia': '553.0', 'endothelial cell': '398.9', 'oligodendrocyte precursor cell': '187.3'}",0.36,Not detected,0.10,0.74,0.67
0,LYL1,ENSG00000104903,Tissue enhanced,Detected in many,,"{'bone marrow': '35.4', 'lymphoid tissue': '35.8'}",Group enriched,Detected in many,4,"{'Early spermatids': '205.7', 'Late spermatids': '818.5'}",Cell type enhanced,Detected in some,,"{'central nervous system macrophage': '55.0', 'endothelial cell': '28.2'}",0.54,0.69,0.13,0.78,0.90
0,MAX,ENSG00000125952,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,0.19,0.22,0.08,0.22,0.13
0,MESP1,ENSG00000166823,Tissue enhanced,Detected in many,,"{'adipose tissue': '11.0', 'prostate': '7.7', 'skeletal muscle': '6.0'}",Cell type enhanced,Detected in many,,"{'Breast glandular cells': '58.4', 'Breast myoepithelial cells': '64.6', 'Mucus glandular cells': '60.2', 'Oocytes': '102.9', 'Prostatic glandular cells': '159.6'}",Low cell type specificity,Detected in many,,,0.76,Not detected,0.17,0.64,0.40
0,MESP2,ENSG00000188095,Low tissue specificity,Detected in single,,,Cell type enhanced,Detected in some,,"{'Breast glandular cells': '3.8', 'Cone photoreceptor cells': '11.9', 'Mucus glandular cells': '4.5', 'Prostatic glandular cells': '4.5', 'Rod photoreceptor cells': '4.7'}",Low cell type specificity,Detected in some,,,0.70,Not detected,0.21,0.86,0.59
0,MITF,ENSG00000187098,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,"{'Cardiomyocytes': '135.8', 'Melanocytes': '826.3', 'Oligodendrocyte precursor cells': '156.6', 'Oligodendrocytes': '223.7'}",Cell type enhanced,Detected in all,,"{'choroid plexus epithelial cell': '511.7', 'oligodendrocyte': '408.6'}",0.40,0.75,0.21,0.65,0.38
0,MLX,ENSG00000108788,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,0.28,0.15,0.14,0.29,0.19
0,MLXIP,ENSG00000175727,Tissue enhanced,Detected in all,,{'skeletal muscle': '125.4'},Cell type enhanced,Detected in all,,"{'Cone photoreceptor cells': '288.9', 'Undifferentiated cells': '197.4'}",Low cell type specificity,Detected in all,,,0.32,0.27,0.05,0.37,0.23
0,MLXIPL,ENSG00000009950,Tissue enriched,Detected in many,7,{'liver': '595.0'},Cell type enhanced,Detected in many,,"{'Cholangiocytes': '89.7', 'Enteroendocrine cells': '82.4', 'Hepatocytes': '198.8', 'Kupffer cells': '56.4', 'Proximal enterocytes': '92.5', 'Skeletal myocytes': '48.8'}",Cell type enhanced,Detected in many,,{'central nervous system macrophage': '118.2'},0.68,Not detected,0.21,0.73,0.43
0,MNT,ENSG00000070444,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.20,0.68,0.09,0.32,0.22
