,Gene,Ensembl,RNA tissue specificity,RNA tissue distribution,RNA tissue specificity score,RNA tissue specific nTPM,RNA single cell type specificity,RNA single cell type distribution,RNA single cell type specificity score,RNA single cell type specific nTPM,RNA single nuclei brain specificity,RNA single nuclei brain distribution,RNA single nuclei brain specificity score,RNA single nuclei brain specific nTPM,TAU score - Tissue,TAU score - Blood,TAU score - Brain,TAU score - Single Cell Type,TAU score - Single nuclei brain
7,KNG1,ENSG00000113889,Tissue enriched,Detected in some,7,{'liver': '3097.3'},Cell type enriched,Detected in some,6,{'Hepatocytes': '1654.3'},Cell type enhanced,Detected in single,,{'oligodendrocyte precursor cell': '1.2'},0.96,Not detected,0.50,0.93,0.76
8,VEGFA,ENSG00000112715,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,"{'Alveolar cells type 1': '241.3', 'granulocytes': '274.5', 'Langerhans cells': '272.3'}",Cell type enhanced,Detected in all,,"{'astrocyte': '127.8', 'oligodendrocyte precursor cell': '116.3'}",0.26,Not detected,0.14,0.39,0.44
9,CDIPT,ENSG00000103502,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,0.14,0.35,0.04,0.29,0.16
10,CLASP2,ENSG00000163539,Tissue enhanced,Detected in all,,"{'brain': '109.2', 'retina': '122.8'}",Cell type enhanced,Detected in all,,"{'Astrocytes': '279.3', 'Excitatory neurons': '496.8', 'Inhibitory neurons': '504.1', 'Oligodendrocyte precursor cells': '694.3', 'Oligodendrocytes': '1224.8'}",Low cell type specificity,Detected in all,,,0.39,0.30,0.11,0.57,0.16
11,ERVK3-1,ENSG00000142396,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,{'Oocytes': '52.9'},Low cell type specificity,Detected in all,,,0.12,0.08,0.07,0.38,0.12
12,HTR5A,ENSG00000157219,Tissue enriched,Detected in single,19,{'brain': '15.2'},Cell type enhanced,Detected in some,,"{'Early spermatids': '10.8', 'Excitatory neurons': '7.3', 'Inhibitory neurons': '9.6', 'Late spermatids': '12.2', 'Sertoli cells': '2.7'}",Low cell type specificity,Detected in many,,,0.98,Not detected,0.30,0.93,0.45
13,NICN1,ENSG00000145029,Low tissue specificity,Detected in all,,,Group enriched,Detected in some,4,"{'Astrocytes': '4.6', 'Excitatory neurons': '4.2', 'Gastric mucus-secreting cells': '1.8', 'Inhibitory neurons': '4.7', 'Microglial cells': '1.8', 'Oligodendrocyte precursor cells': '2.8', 'Oligodendrocytes': '2.7'}",Low cell type specificity,Detected in all,,,0.32,0.24,0.10,0.92,0.25
14,RAC1,ENSG00000136238,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,0.14,0.25,0.04,0.20,0.21
15,SLC35A2,ENSG00000102100,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in all,,,Low cell type specificity,Detected in all,,,0.18,0.24,0.15,0.37,0.33
16,TPPP,ENSG00000171368,Tissue enriched,Detected in many,7,{'brain': '137.7'},Cell type enhanced,Detected in many,,"{'Excitatory neurons': '43.7', 'Horizontal cells': '37.8', 'Inhibitory neurons': '31.2', 'Oligodendrocytes': '97.5'}",Low cell type specificity,Detected in all,,,0.66,Not detected,0.11,0.69,0.31
17,TRAPPC14,ENSG00000146826,Low tissue specificity,Detected in all,,,Low cell type specificity,Detected in many,,,Low cell type specificity,Detected in all,,,0.29,0.61,0.06,0.46,0.28
18,XRCC3,ENSG00000126215,Low tissue specificity,Detected in all,,,Cell type enhanced,Detected in many,,{'Cytotrophoblasts': '10.5'},Cell type enhanced,Detected in many,,{'bergmann glia': '15.9'},0.39,0.33,0.07,0.59,0.51
0,SWI5,ENSG00000175854,Low tissue specificity,Detected in all,,,Group enriched,Detected in all,10,"{'Early spermatids': '1271.4', 'Late spermatids': '1208.7'}",Low cell type specificity,Detected in all,,,0.31,0.30,0.07,0.52,0.15
1,SFR1,ENSG00000156384,Low tissue specificity,Detected in all,,,Cell type enriched,Detected in many,4,{'Spermatocytes': '235.2'},Cell type enhanced,Detected in many,,{'oligodendrocyte': '21.4'},0.38,0.16,0.19,0.60,0.49
