,Gene Name,Complex,Subcomplex or Module,Own-complex paralog,Other-complex Paralogues,Notes,Source
25,BAF250B,BAF,npBAF,[BAF250A],,,Alfert et al. Epigenetics & Chromatin (2019)
26,BAF200,BAF,npBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
27,BAF45A,BAF,npBAF,[BAF45D],"[BAF45B, BAF45C]",,Alfert et al. Epigenetics & Chromatin (2019)
28,BAF45D,BAF,npBAF,[BAF45A],"[BAF45B, BAF45C]",,Alfert et al. Epigenetics & Chromatin (2019)
29,BAF170,BAF,npBAF,,,dimerizes with 155,Alfert et al. Epigenetics & Chromatin (2019)
30,BAF155,BAF,npBAF,,,dimerizes with self or BAF170,Alfert et al. Epigenetics & Chromatin (2019)
31,BRG1,BAF,npBAF,[BRM],,,Alfert et al. Epigenetics & Chromatin (2019)
32,BRM,BAF,npBAF,[BRG1],,,Alfert et al. Epigenetics & Chromatin (2019)
33,BRD9,BAF,npBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
34,BAF57,BAF,npBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
35,BAF47,BAF,npBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
36,SS18,BAF,npBAF,,[CREST],,Alfert et al. Epigenetics & Chromatin (2019)
37,BCL7A,BAF,npBAF,"[BCL7B, BCL7C]",,,Alfert et al. Epigenetics & Chromatin (2019)
38,BCL7B,BAF,npBAF,"[BCL7A, BCL7C]",,,Alfert et al. Epigenetics & Chromatin (2019)
39,BCL7C,BAF,npBAF,"[BCL7A, BCL7B]",,,Alfert et al. Epigenetics & Chromatin (2019)
40,BAF53A,BAF,npBAF,,[BAF53B],,Alfert et al. Epigenetics & Chromatin (2019)
41,BAF180,BAF,nBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
42,BCL11A,BAF,nBAF,[BCL11B],,,Alfert et al. Epigenetics & Chromatin (2019)
43,BCL11B,BAF,nBAF,[BCL11A],,,Alfert et al. Epigenetics & Chromatin (2019)
44,BAF60A,BAF,nBAF,[BAF60C],,,Alfert et al. Epigenetics & Chromatin (2019)
45,BAF60C,BAF,nBAF,[BAF60A],,,Alfert et al. Epigenetics & Chromatin (2019)
46,BAF250A,BAF,nBAF,[BAF250B],,,Alfert et al. Epigenetics & Chromatin (2019)
47,BAF250B,BAF,nBAF,[BAF250A],,,Alfert et al. Epigenetics & Chromatin (2019)
48,BAF200,BAF,nBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
49,BAF45B,BAF,nBAF,[BAF45C],"[BAF45A, BAF45D]",,Alfert et al. Epigenetics & Chromatin (2019)
50,BAF45C,BAF,nBAF,[BAF45B],"[BAF45A, BAF45D]",,Alfert et al. Epigenetics & Chromatin (2019)
51,BAF170,BAF,nBAF,,,dimerizes with 155,Alfert et al. Epigenetics & Chromatin (2019)
52,BAF155,BAF,nBAF,,,dimerizes with self or BAF170,Alfert et al. Epigenetics & Chromatin (2019)
53,BRG1,BAF,nBAF,[BRM],,,Alfert et al. Epigenetics & Chromatin (2019)
54,BRM,BAF,nBAF,[BRG1],,,Alfert et al. Epigenetics & Chromatin (2019)
55,BRD9,BAF,nBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
56,BAF57,BAF,nBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
57,BAF47,BAF,nBAF,,,,Alfert et al. Epigenetics & Chromatin (2019)
58,CREST,BAF,nBAF,,[SS18],,Alfert et al. Epigenetics & Chromatin (2019)
59,BCL7A,BAF,nBAF,"[BCL7B, BCL7C]",,,Alfert et al. Epigenetics & Chromatin (2019)
60,BCL7B,BAF,nBAF,"[BCL7A, BCL7C]",,,Alfert et al. Epigenetics & Chromatin (2019)
61,BCL7C,BAF,nBAF,"[BCL7A, BCL7B]",,,Alfert et al. Epigenetics & Chromatin (2019)
62,BAF53B,BAF,nBAF,,[BAF53A],,Alfert et al. Epigenetics & Chromatin (2019)
0,MED6,Mediator,[Head],,,,Malik and Roeder (2023)
1,MED8,Mediator,[Head],,,,Malik and Roeder (2023)
2,MED11,Mediator,[Head],,,,Malik and Roeder (2023)
3,MED17,Mediator,"[Head, Middle]",,,Central scaffold of head unit,Malik and Roeder (2023)
4,MED18,Mediator,[Head],,,,Malik and Roeder (2023)
5,MED20,Mediator,[Head],,,,Malik and Roeder (2023)
6,MED22,Mediator,[Head],,,,Malik and Roeder (2023)
7,MED27,Mediator,"[Head, Tail]",,,"MED3 yeast, MED27 Arabidopsis","Nayak, Shraddha et al. (2022)"
8,MED28,Mediator,"[Head, Tail]",,,,"Nayak, Shraddha et al. (2022)"
9,MED14,Mediator,"[Head, Middle, Tail]",,,,"Nayak, Shraddha et al. (2022)"
10,MED30,Mediator,"[Head, Tail]",,,,"Nayak, Shraddha et al. (2022)"
11,MED4,Mediator,[Middle],,,,Malik and Roeder (2023)
12,MED7,Mediator,[Middle],,,,Malik and Roeder (2023)
13,MED10,Mediator,[Middle],,,,Malik and Roeder (2023)
14,MED19,Mediator,[Middle],,,,Malik and Roeder (2023)
15,MED21,Mediator,[Middle],,,,Malik and Roeder (2023)
16,MED1,Mediator,[Middle],,,,Malik and Roeder (2023)
17,MED31,Mediator,[Middle],,,,Malik and Roeder (2023)
18,MED9,Mediator,[Middle],,,,"Nayak, Shraddha et al. (2022)"
19,MED26,Mediator,[Middle],,,,Malik and Roeder (2023)
20,MED15,Mediator,[Tail],,,,Malik and Roeder (2023)
21,MED16,Mediator,[Tail],,,,Malik and Roeder (2023)
22,MED23,Mediator,[Tail],,,,Malik and Roeder (2023)
23,MED24,Mediator,[Tail],,,"MED5 yeast, MED33 Arabidopsis",Malik and Roeder (2023)
24,MED25,Mediator,[Tail],,,,Malik and Roeder (2023)
25,MED29,Mediator,[Tail],,,"MED2 Yeast, MED32 Arabidopsis",Malik and Roeder (2023)
26,MED12,Mediator,Kinase,[MED12K],,,Malik and Roeder (2023)
27,MED13,Mediator,Kinase,[MED13L],,,Malik and Roeder (2023)
28,CDK8,Mediator,Kinase,[CDK19],,,Malik and Roeder (2023)
29,CCNC,Mediator,Kinase,,,,Malik and Roeder (2023)
30,MED12L,Mediator,Kinase,[MED12],,,"Nayak, Shraddha et al. (2022)"
31,MED13L,Mediator,Kinase,[MED13],,,"Nayak, Shraddha et al. (2022)"
32,CDK19,Mediator,Kinase,[CDK8],,,"Nayak, Shraddha et al. (2022)"
0,EP300,P300-CBP,P300,,,,
1,CREBBP,P300-CBP,CBP,,,,
0,ATXN7,SAGA,DUB,,,,Herbst et al. 2021
1,ATXN7L3,SAGA,DUB,,,,Herbst et al. 2021
2,ENY2,SAGA,DUB,,,,Herbst et al. 2021
3,USP22,SAGA,DUB,,,,Herbst et al. 2021
4,KAT2A,SAGA,HAT,,,,Herbst et al. 2021
5,SGF29,SAGA,HAT,,,,Herbst et al. 2021
6,TADA2B,SAGA,HAT,,,,Herbst et al. 2021
7,TADA3,SAGA,HAT,,,,Herbst et al. 2021
8,SF3B3,SAGA,SPL,,,,Herbst et al. 2021
9,SF3B5,SAGA,SPL,,,,Herbst et al. 2021
10,SUPT3H,SAGA,Core,,,,Herbst et al. 2021
11,SUPT7L,SAGA,Core,,,,Herbst et al. 2021
12,SUPT20H,SAGA,Core,,,,Herbst et al. 2021
13,TADA1,SAGA,Core,,,,Herbst et al. 2021
14,TAF5L,SAGA,Core,,,,Herbst et al. 2021
15,TAF6L,SAGA,Core,,,,Herbst et al. 2021
16,TAF9B,SAGA,Core,,,,Herbst et al. 2021
17,TAF10,SAGA,Core,,,,Herbst et al. 2021
18,TAF12,SAGA,Core,,,,Herbst et al. 2021
19,TRRAP,SAGA,TRRAP,,,,Herbst et al. 2021
0,TAF1,TFIID,"[TAF, INR-binding]",,,,"Goodrich and Tijian, 2010"
1,TAF2,TFIID,"[TAF, INR-binding]",,,,"Goodrich and Tijian, 2011"
2,TAF6,TFIID,"[TAF, DPE-binding]",,,,"Goodrich and Tijian, 2012"
3,TAF9,TFIID,"[TAF, DPE-binding]",,,,"Goodrich and Tijian, 2013"
4,TBP,TFIID,[TBP],,,,"Goodrich and Tijian, 2014"
5,TAF4,TFIID,[TAF],,,,"Goodrich and Tijian, 2015"
6,TAF8,TFIID,[TAF],,,,"Goodrich and Tijian, 2016"
7,TAF10,TFIID,[TAF],,,,"Goodrich and Tijian, 2017"
8,TAF12,TFIID,[TAF],,,,"Goodrich and Tijian, 2018"
9,TAF4,TFIID,[TAF],,,,"Goodrich and Tijian, 2019"
10,TAF3,TFIID,[TAF],,,,"Goodrich and Tijian, 2020"
11,TAF7,TFIID,[TAF],,,,"Goodrich and Tijian, 2021"
12,TAF11,TFIID,[TAF],,,,"Goodrich and Tijian, 2022"
13,TAF13,TFIID,[TAF],,,,"Goodrich and Tijian, 2023"
14,TAF12,TFIID,[TAF],,,,"Goodrich and Tijian, 2024"
15,TAF5,TFIID,[TAF],,,,"Goodrich and Tijian, 2025"
16,TAF9,TFIID,[TAF],,,,"Goodrich and Tijian, 2026"
17,TAF6,TFIID,[TAF],,,,"Goodrich and Tijian, 2027"
0,TRRAP,TIP60,[TRAAP],,,,Yang et al. 2024
1,EP400,TIP60,"[TRAAP, ARP, Base]",,,,Yang et al. 2024
2,DMAP1,TIP60,[ARP],,,,Yang et al. 2024
3,BAF53A,TIP60,[ARP],,,,Yang et al. 2024
4,EPC1,TIP60,[ARP],,,,Yang et al. 2024
5,ACTB,TIP60,[ARP],,,,Yang et al. 2024
6,VPS72,TIP60,[Base],,,,Yang et al. 2024
7,RUVBL1,TIP60,[Base],,,,Yang et al. 2024
8,RUVBL2,TIP60,[Base],,,,Yang et al. 2024
9,BAF53A,TIP60,[Base],,,,Yang et al. 2024
10,H2AZ,TIP60,[Base],,,,Yang et al. 2024
11,H2B,TIP60,[Base],,,,Yang et al. 2024
0,FT2B,TFIIB,,,,,
1,GTF2A1,TFIIA,,,,,
2,GTF2A2,TFIIA,,,,,
3,GTF2E1,TFIIE,,,,,
4,GTF2E2,TFIIE,,,,,
5,GTF2F1,TFIIF,,,,,
6,GTF2F2,TFIIF,,,,,
7,ERCC3,TFIIH,,,,,
8,GTF2H1,TFIIH,,,,,
9,ERCC2,TFIIH,,,,,
10,CDK7,TFIIH,,,,,
11,CCNH,TFIIH,,,,,
12,GTFH2,TFIIH,,,,,
13,MNAT1,TFIIH,,,,,
14,GTFH2H4,TFIIH,,,,,
15,SUPT16H,FACT,,,,,
16,SSRP1,FACT,,,,,
17,NELFA,NELF/DSIF,,,,,
18,NELFB,NELF/DSIF,,,,,
19,NELFE,NELF/DSIF,,,,,
20,NELFCD,NELF/DSIF,,,,,
21,SUPT4H1,NELF/DSIF,,,,,
22,SUPT5H,NELF/DSIF,,,,,
23,INTS1,Integrator,,,,,
24,INTS4,Integrator,,,,,
25,INTS7,Integrator,,,,,
26,INTS2,Integrator,,,,,
27,INTS5,Integrator,,,,,
28,INTS8,Integrator,,,,,
29,INTS10,Integrator,,,,,
30,INTS9,Integrator,,,,,
31,INTS12,Integrator,,,,,
32,SETD1A,SET/COMPASS,,,,,
33,SETD1B,SET/COMPASS,,,,,
34,DPY30,SET/COMPASS,,,,,
35,ASH2L,SET/COMPASS,,,,,
36,WDR5,SET/COMPASS,,,,,
37,WDR82,SET/COMPASS,,,,,
38,CXXC1,SET/COMPASS,,,,,
39,RBBP5,SET/COMPASS,,,,,
40,MENIN,SET/COMPASS,,,,,
41,KMT2A,SET/COMPASS,,,,,
42,KMT2B,SET/COMPASS,,,,,
43,KMT2D,SET/COMPASS,,,,,
44,AFF1,Elongation,,,,,
45,LEO1,Elongation,,,,,
46,DOT1L,Elongation,,,,,
47,ELL,Elongation,,,,,
48,CTR9,Elongation,,,,,
49,PAF1,Elongation,,,,,
50,CDC73,Elongation,,,,,
51,WDR61,Elongation,,,,,
52,ELOA,Elongation,,,,,
53,UBE2A,Elongation,,,,,
54,HUWE1,Elongation,,,,,
55,MLLT1,Elongation,,,,,
56,MLLT10,Elongation,,,,,
57,SUPT6H,Elongation,,,,,
58,TRIM28,Elongation,,,,,
59,AFF4,Elongation,,,,,
60,EP400,HATS,,,,,
61,KAT2A,HATS,,,,,
62,KAT2B,HATS,,,,,
63,KAT5,HATS,,,,,
64,KAT6A,HATS,,,,,
65,KAT6B,HATS,,,,,
66,KAT8,HATS,,,,,
67,POLR2B,RNA Pol II,,,,,
68,POLR2C,RNA Pol II,,,,,
69,POLR2A,RNA Pol II,,,,,
70,POLR2J,RNA Pol II,,,,,
71,POLR2K,RNA Pol II,,,,,
72,POLR2D,RNA Pol II,,,,,
73,POLR2H,RNA Pol II,,,,,
74,POLR2G,RNA Pol II,,,,,
75,POLR2F,RNA Pol II,,,,,
76,POLR2E,RNA Pol II,,,,,
77,CDK12,CDKs,,,,,
78,CCNK,CDKs,,,,,
79,CDK13,CDKs,,,,,
80,CDK9,CDKs,,,,,
81,CCNT1,CDKs,,,,,
82,CCNT2,CDKs,,,,,
83,NCOA1,NCOA,,,,,
84,NCOA3,NCOA,,,,,
85,NCOA6,NCOA,,,,,
86,CHD1,Chromatin Remodelers,,,,,
87,SMARCA5,Chromatin Remodelers,,,,,
88,MAZ,Chromatin Remodelers,,,,,
89,BPTF,Chromatin Remodelers,,,,,
90,ARID1A,Chromatin Remodelers,,,,,
91,ARID1B,Chromatin Remodelers,,,,,
92,ARID2,Chromatin Remodelers,,,,,
93,ARID4A,Chromatin Remodelers,,,,,
94,ARID4B,Chromatin Remodelers,,,,,
95,RUVBL1,Chromatin Remodelers,,,,,
96,RUVBL2,Chromatin Remodelers,,,,,
97,SMARCB1,Chromatin Remodelers,,,,,
98,INO80B,Chromatin Remodelers,,,,,
99,SMARCA4,Chromatin Remodelers,,,,,
100,SMARCD1,Chromatin Remodelers,,,,,
101,SMARCA1,Chromatin Remodelers,,,,,
102,SMARCC1,Chromatin Remodelers,,,,,
103,SMARCC2,Chromatin Remodelers,,,,,
104,SMARCD2,Chromatin Remodelers,,,,,
105,SMARCD3,Chromatin Remodelers,,,,,
106,SMARCE1,Chromatin Remodelers,,,,,
107,BRD9,Chromatin Remodelers,,,,,
108,SMARCAD1,Chromatin Remodelers,,,,,
